code,id,market,flag
688311,1,SH,True
688310,1,SH,True
688309,1,SH,True
688308,1,SH,True
688307,1,SH,True
688306,1,SH,True
688305,1,SH,True
688303,1,SH,True
688302,1,SH,True
688301,1,SH,True
688300,1,SH,True
688299,1,SH,True
688298,1,SH,True
688297,1,SH,True
688296,1,SH,True
688295,1,SH,True
688293,1,SH,True
688292,1,SH,True
688291,1,SH,True
688290,1,SH,True
688289,1,SH,True
688288,1,SH,True
688287,1,SH,True
688286,1,SH,True
688285,1,SH,True
688283,1,SH,True
688282,1,SH,True
688281,1,SH,True
688280,1,SH,True
688279,1,SH,True
688278,1,SH,True
688277,1,SH,True
688276,1,SH,True
688275,1,SH,True
688273,1,SH,True
688272,1,SH,True
688271,1,SH,True
688270,1,SH,True
688269,1,SH,True
688268,1,SH,True
688267,1,SH,True
688266,1,SH,True
688265,1,SH,True
688262,1,SH,True
688261,1,SH,True
688260,1,SH,True
688259,1,SH,True
688258,1,SH,True
688257,1,SH,True
688256,1,SH,True
688255,1,SH,True
688253,1,SH,True
688252,1,SH,True
688251,1,SH,True
688249,1,SH,True
688248,1,SH,True
688247,1,SH,True
688246,1,SH,True
688244,1,SH,True
688239,1,SH,True
688238,1,SH,True
688237,1,SH,True
688236,1,SH,True
688235,1,SH,True
688234,1,SH,True
688233,1,SH,True
688232,1,SH,True
688231,1,SH,True
688230,1,SH,True
688229,1,SH,True
688228,1,SH,True
688227,1,SH,True
688226,1,SH,True
688225,1,SH,True
688223,1,SH,True
688222,1,SH,True
688221,1,SH,True
688220,1,SH,True
688219,1,SH,True
688218,1,SH,True
688217,1,SH,True
688216,1,SH,True
688215,1,SH,True
688213,1,SH,True
688212,1,SH,True
688211,1,SH,True
688210,1,SH,True
688209,1,SH,True
688208,1,SH,True
688207,1,SH,True
688206,1,SH,True
688205,1,SH,True
688203,1,SH,True
688202,1,SH,True
688201,1,SH,True
688200,1,SH,True
688199,1,SH,True
688198,1,SH,True
688197,1,SH,True
688196,1,SH,True
688195,1,SH,True
688193,1,SH,True
688192,1,SH,True
688191,1,SH,True
688190,1,SH,True
688189,1,SH,True
688188,1,SH,True
688187,1,SH,True
688186,1,SH,True
688185,1,SH,True
688184,1,SH,True
688183,1,SH,True
688182,1,SH,True
688181,1,SH,True
688180,1,SH,True
688179,1,SH,True
688178,1,SH,True
